feature,importance
existing_debt,0.3582
interest_rate,0.1598
loan_amount,0.1369
income,0.1275
num_delinquencies,0.0957
age,0.0193
education_primary,0.0129
customer_id,0.0115
random_index,0.0114
employment_years,0.0114
hobby_score,0.0111
loan_id,0.0109
city_size_small,0.0065
survey_mood,0.0039
duration_months,0.0036
has_mortgage,0.0026
city_size_medium,0.0024
education_secondary,0.0018
owns_car,0.0018
city_size_large,0.0017
gender_F,0.0016
gender_M,0.0015
loan_type_consumer,0.0013
education_vocational,0.0013
education_higher,0.0012
